default,btcusdt,eosbtc,ethbtc,etcbtc,xrpbtc,bchbtc,ltcbtc,adabtc,xlmbtc,miotabtc,neobtc,xmrbtc,dashbtc,trxbtc,xembtc,venbtc,qtumbtc,omgbtc,bnbbtc,ethusdt,xrpusdt,bchusdt,eosusdt,ltcusdt,adausdt,xlmusdt,miotausdt,neousdt,xmrusdt,dashusdt,trxusdt,xemusdt,etcusdt,venusdt,qtumusdt,omgusdt,bnbusdt
_title,BTC-USDT,EOS-BTC,ETH-BTC,ETC-BTC,XRP-BTC,BCH-BTC,LTC-BTC,ADA-BTC,XLM-BTC,MIOTA-BTC,NEO-BTC,XMR-BTC,DASH-BTC,TRX-BTC,XEM-BTC,VEN-BTC,QTUM-BTC,OMG-BTC,BNB-BTC,ETH-USDT,XRP-USDT,BCH-USDT,EOS-USDT,LTC-USDT,ADA-USDT,XLM-USDT,MIOTA-USDT,NEO-USDT,XMR-USDT,DASH-USDT,TRX-USDT,XEM-USDT,ETC-USDT,VEN-USDT,QTUM-USDT,OMG-USDT,BNB-USDT
huobi,btcusdt,,,,,,,,,,,,,,,,,,,ethusdt,xrpusdt,bchusdt,eosusdt,ltcusdt,adausdt,,,neousdt,,dashusdt,trxusdt,xemusdt,etcusdt,venusdt,qtumusdt,omgusdt,
binance,BTCUSDT,EOSBTC,,ETCBTC,XRPBTC,,,,XLMBTC,IOTABTC,,XMRBTC,DASHBTC,TRXBTC,XEMBTC,VENBTC,,OMGBTC,,ETHUSDT,,,,LTCUSDT,ADAUSDT,,,NEOUSDT,,,,,,,QTUMUSDT,,BNBUSDT
bitfinex,tBTCUSD,,,,,,,,,,,,,,,,,,,tETHUSD,tXRPUSD,tBCHUSD,tEOSUSD,tLTCUSD,,,,tNEOUSD,tXMRUSD,,tTRXUSD,,tETCUSD,,tQTMUSD,tOMGUSD,
okex,btc_usd,,,,,,,,,iota_btc,,,,,,,,,,eth_usd,xrp_usd,bch_usd,eos_usd,ltc_usd,,,,,,,,,etc_usd,,,,
okcoin,btc_usd,,,,,,,,,,,,,,,,,,,eth_usd,,bch_usd,,ltc_usd,,,,,,,,,etc_usd,,,,
poloniex,USDT_BTC,,,,,,,,,,,,,,BTC_XEM,,,BTC_OMG,,USDT_ETH,USDT_XRP,USDT_BCH,,USDT_LTC,,,,,USDT_XMR,USDT_DASH,,,USDT_ETC,,,,
gdax,BTC-USD,,,,,,,,,,,,,,,,,,,ETH-USD,,BCH-USD,,LTC-USD,,,,,,,,,,,,,
bitstamp,btcusd,,,,,,,,,,,,,,,,,,,ethusd,xrpusd,bchusd,,ltcusd,,,,,,,,,,,,,
bittrex,USDT-BTC,,,,,,,,BTC-XLM,,,,,,BTC-XEM,,BTC-QTUM,,,USDT-ETH,USDT-XRP,,,USDT-LTC,USDT-ADA,,,USDT-NEO,USDT-XMR,USDT-DASH,USDT-TRX,,USDT-ETC,,,USDT-OMG,
gateio,btc_usdt,,,,,,,,,,,,,,,,,,,eth_usdt,xrp_usdt,bch_usdt,eos_usdt,ltc_usdt,ada_usdt,xlm_usdt,iota_usdt,neo_usdt,xmr_usdt,dash_usdt,trx_usdt,,etc_usdt,ven_usdt,qtum_usdt,omg_usdt,
